timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,parsed status,raw
Fri May 12 16:00:00 UTC 2017,5001,Arrived Gate 8 Minutes Early,1:27 p.m.,1:23 p.m.,"Thu, May 11",2:04 p.m.,1:56 p.m.,"Thu, May 11",early,"{'5001','STATUS','Arrived Gate 8 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:23 p.m.','DEPARTURE','Actual date:','Thu, May 11','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:56 p.m.','ARRIVAL','Actual date:','Thu, May 11'}"
Fri May 12 16:00:00 UTC 2017,5109,Arrived Gate 7 Minutes Early,6:10 a.m.,6:04 a.m.,"Thu, May 11",6:47 a.m.,6:40 a.m.,"Thu, May 11",early,"{'5109','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:04 a.m.','DEPARTURE','Actual date:','Thu, May 11','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:40 a.m.','ARRIVAL','Actual date:','Thu, May 11'}"
Sat May 13 16:00:01 UTC 2017,5061,Delayed due to a late inbound aircraft arrival (arrived gate 7 minutes late),9:10 p.m.,9:27 p.m.,"Fri, May 12",11:36 p.m.,11:43 p.m.,"Fri, May 12",late,"{'5061','STATUS','Delayed due to a late inbound aircraft arrival (arrived gate 7 minutes late)','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:27 p.m.','DEPARTURE','Actual date:','Fri, May 12','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:43 p.m.','ARRIVAL','Actual date:','Fri, May 12'}"
Sat May 13 16:00:01 UTC 2017,5141,Arrived Gate 16 Minutes Early,10:30 a.m.,10:25 a.m.,"Fri, May 12",12:56 p.m.,12:40 p.m.,"Fri, May 12",early,"{'5141','STATUS','Arrived Gate 16 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:25 a.m.','DEPARTURE','Actual date:','Fri, May 12','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:40 p.m.','ARRIVAL','Actual date:','Fri, May 12'}"
Sat May 13 16:00:01 UTC 2017,5001,Arrived Gate 11 Minutes Early,1:27 p.m.,1:17 p.m.,"Fri, May 12",2:04 p.m.,1:53 p.m.,"Fri, May 12",early,"{'5001','STATUS','Arrived Gate 11 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:17 p.m.','DEPARTURE','Actual date:','Fri, May 12','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:53 p.m.','ARRIVAL','Actual date:','Fri, May 12'}"
Sat May 13 16:00:01 UTC 2017,5109,Arrived Gate 3 Minutes Early,6:10 a.m.,6:06 a.m.,"Fri, May 12",6:47 a.m.,6:44 a.m.,"Fri, May 12",early,"{'5109','STATUS','Arrived Gate 3 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:06 a.m.','DEPARTURE','Actual date:','Fri, May 12','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:44 a.m.','ARRIVAL','Actual date:','Fri, May 12'}"
Sun May 14 16:00:01 UTC 2017,5061,Arrived Gate 10 Minutes Early,9:10 p.m.,9:02 p.m.,"Sat, May 13",11:36 p.m.,11:26 p.m.,"Sat, May 13",early,"{'5061','STATUS','Arrived Gate 10 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Sat, May 13','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:26 p.m.','ARRIVAL','Actual date:','Sat, May 13'}"
Sun May 14 16:00:01 UTC 2017,5141,Arrived Gate 5 Minutes Early,10:30 a.m.,10:20 a.m.,"Sat, May 13",12:56 p.m.,12:51 p.m.,"Sat, May 13",early,"{'5141','STATUS','Arrived Gate 5 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:20 a.m.','DEPARTURE','Actual date:','Sat, May 13','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:51 p.m.','ARRIVAL','Actual date:','Sat, May 13'}"
Sun May 14 16:00:01 UTC 2017,5001,Arrived Gate 31 Minutes Early,1:27 p.m.,1:17 p.m.,"Sat, May 13",2:04 p.m.,1:33 p.m.,"Sat, May 13",early,"{'5001','STATUS','Arrived Gate 31 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:17 p.m.','DEPARTURE','Actual date:','Sat, May 13','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:33 p.m.','ARRIVAL','Actual date:','Sat, May 13'}"
Sun May 14 16:00:01 UTC 2017,5109,Arrived Gate 31 Minutes Early,6:10 a.m.,6:00 a.m.,"Sat, May 13",6:47 a.m.,6:16 a.m.,"Sat, May 13",early,"{'5109','STATUS','Arrived Gate 31 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:00 a.m.','DEPARTURE','Actual date:','Sat, May 13','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:16 a.m.','ARRIVAL','Actual date:','Sat, May 13'}"
Mon May 15 16:00:02 UTC 2017,5061,Arrived Gate 2 Minutes Early,9:10 p.m.,9:02 p.m.,"Sun, May 14",11:36 p.m.,11:34 p.m.,"Sun, May 14",early,"{'5061','STATUS','Arrived Gate 2 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Sun, May 14','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:34 p.m.','ARRIVAL','Actual date:','Sun, May 14'}"
Mon May 15 16:00:02 UTC 2017,5141,Arrived Gate 9 Minutes Early,10:30 a.m.,10:23 a.m.,"Sun, May 14",12:56 p.m.,12:47 p.m.,"Sun, May 14",early,"{'5141','STATUS','Arrived Gate 9 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:23 a.m.','DEPARTURE','Actual date:','Sun, May 14','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:47 p.m.','ARRIVAL','Actual date:','Sun, May 14'}"
Mon May 15 16:00:02 UTC 2017,5001,Arrived Gate 14 Minutes Early,1:27 p.m.,1:15 p.m.,"Sun, May 14",2:04 p.m.,1:50 p.m.,"Sun, May 14",early,"{'5001','STATUS','Arrived Gate 14 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:15 p.m.','DEPARTURE','Actual date:','Sun, May 14','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:50 p.m.','ARRIVAL','Actual date:','Sun, May 14'}"
Mon May 15 16:00:02 UTC 2017,5109,Arrived Gate 18 Minutes Early,6:10 a.m.,6:04 a.m.,"Sun, May 14",6:47 a.m.,6:29 a.m.,"Sun, May 14",early,"{'5109','STATUS','Arrived Gate 18 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:04 a.m.','DEPARTURE','Actual date:','Sun, May 14','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:29 a.m.','ARRIVAL','Actual date:','Sun, May 14'}"
Tue May 16 16:00:01 UTC 2017,5061,Arrived Gate 2 Minutes Early,9:10 p.m.,9:04 p.m.,"Mon, May 15",11:36 p.m.,11:34 p.m.,"Mon, May 15",early,"{'5061','STATUS','Arrived Gate 2 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:04 p.m.','DEPARTURE','Actual date:','Mon, May 15','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:34 p.m.','ARRIVAL','Actual date:','Mon, May 15'}"
Tue May 16 16:00:01 UTC 2017,5141,Arrived Gate 14 Minutes Early,10:30 a.m.,10:19 a.m.,"Mon, May 15",12:56 p.m.,12:42 p.m.,"Mon, May 15",early,"{'5141','STATUS','Arrived Gate 14 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:19 a.m.','DEPARTURE','Actual date:','Mon, May 15','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:42 p.m.','ARRIVAL','Actual date:','Mon, May 15'}"
Tue May 16 16:00:01 UTC 2017,5001,Arrived Gate 5 Minutes Early,1:27 p.m.,,,2:04 p.m.,1:59 p.m.,"Mon, May 15",early,"{'5001','STATUS','Arrived Gate 5 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Scheduled date:','Mon, May 15','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:59 p.m.','ARRIVAL','Actual date:','Mon, May 15'}"
Tue May 16 16:00:01 UTC 2017,5109,Arrived Gate 15 Minutes Early,6:10 a.m.,6:03 a.m.,"Mon, May 15",6:47 a.m.,6:32 a.m.,"Mon, May 15",early,"{'5109','STATUS','Arrived Gate 15 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:03 a.m.','DEPARTURE','Actual date:','Mon, May 15','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:32 a.m.','ARRIVAL','Actual date:','Mon, May 15'}"
Wed May 17 16:00:01 UTC 2017,5061,Arrived Gate 2 Minutes Early,9:10 p.m.,9:09 p.m.,"Tue, May 16",11:36 p.m.,11:34 p.m.,"Tue, May 16",early,"{'5061','STATUS','Arrived Gate 2 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:09 p.m.','DEPARTURE','Actual date:','Tue, May 16','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:34 p.m.','ARRIVAL','Actual date:','Tue, May 16'}"
Wed May 17 16:00:01 UTC 2017,5141,Arrived Gate 25 Minutes Early,10:30 a.m.,10:24 a.m.,"Tue, May 16",12:56 p.m.,12:31 p.m.,"Tue, May 16",early,"{'5141','STATUS','Arrived Gate 25 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:24 a.m.','DEPARTURE','Actual date:','Tue, May 16','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:31 p.m.','ARRIVAL','Actual date:','Tue, May 16'}"
